
postalCode,type,subType,price,SaleType,nbrBedrooms,livingArea,Kitchen,Furnished,OpenFire,Terrace,Garden,plotSurface,nbrFacades,SwimPool,State,yearConstruct,FloodZone
2800,HOUSE,HOUSE,265000,New Classified,2,105.0,SEMI_EQUIPPED,False,False,20,65,115.0,2.0,False,TO_RENOVATE,,NON_FLOOD_ZONE
2800,HOUSE,HOUSE,319000,New Classified,3,132.0,SEMI_EQUIPPED,False,False,20,105,239.0,2.0,False,TO_RENOVATE,1954.0,NON_FLOOD_ZONE
6950,HOUSE,HOUSE,249000,New Classified,3,120.0,INSTALLED,False,False,15,100,320.0,2.0,False,JUST_RENOVATED,1950.0,NON_FLOOD_ZONE
1300,HOUSE,APARTMENT_BLOCK,645000,New Classified,4,173.0,INSTALLED,False,False,30,200,299.0,3.0,False,GOOD,1986.0,NON_FLOOD_ZONE
9600,HOUSE,HOUSE,195000,New Classified,2,154.0,INSTALLED,False,False,18,116,206.0,2.0,False,JUST_RENOVATED,1950.0,NON_FLOOD_ZONE
4032,HOUSE,HOUSE,190000,New Classified,2,90.0,SEMI_EQUIPPED,False,False,0,110,170.0,2.0,False,TO_BE_DONE_UP,1918.0,POSSIBLE_FLOOD_ZONE
4400,HOUSE,HOUSE,279000,New Classified,3,130.0,INSTALLED,False,False,40,440,759.0,3.0,False,JUST_RENOVATED,1954.0,
4460,HOUSE,HOUSE,378000,New Classified,3,240.0,SEMI_EQUIPPED,False,False,0,1184,1660.0,4.0,False,TO_BE_DONE_UP,1973.0,
2140,HOUSE,HOUSE,439000,New Classified,3,167.0,HYPER_EQUIPPED,False,False,5,19,80.0,2.0,False,JUST_RENOVATED,2022.0,POSSIBLE_FLOOD_ZONE
5377,HOUSE,HOUSE,229000,New Classified,4,247.0,NOT_INSTALLED,False,False,30,740,740.0,4.0,False,TO_BE_DONE_UP,1900.0,NON_FLOOD_ZONE
4860,HOUSE,TOWN_HOUSE,249000,New Classified,3,156.0,INSTALLED,False,False,0,20,219.0,2.0,False,AS_NEW,1975.0,NON_FLOOD_ZONE
5377,HOUSE,HOUSE,285000,New Classified,4,212.0,INSTALLED,False,True,20,731,731.0,4.0,False,GOOD,1960.0,NON_FLOOD_ZONE
4053,HOUSE,HOUSE,950000,New Classified,5,390.0,INSTALLED,False,False,0,1059,1059.0,4.0,True,AS_NEW,1975.0,NON_FLOOD_ZONE
2620,HOUSE,HOUSE,239000,New Classified,2,98.0,INSTALLED,False,False,0,24,97.0,2.0,False,AS_NEW,1930.0,NON_FLOOD_ZONE
